"business_area_name","region_name","barr_date","revenue"
"A00 - Equipment","Eurasia","2021-08-01",1547470.2783
"A00 - Equipment","EMEA","2021-08-01",1584904.783135
"B00 - Services","EMEA","2021-08-01",2037623.8046519996
"F00 - GCCT","India","2021-08-01",1050841.482282
"F00 - GCCT","Latin America","2021-08-01",748685.815805
"F00 - GCCT","Eurasia","2021-08-01",45464.6628
"B00 - Services","China","2021-08-01",190437.561794
"A00 - Equipment","North America","2021-08-01",469569.451533
"B00 - Services","North America","2021-08-01",823429.1864
"Consolidated","Global","2021-08-01",25682407.297348
"A00 - Equipment","China","2021-08-01",905609.3771479999
"B00 - Services","Eurasia","2021-08-01",2094294.3016
"F00 - GCCT","EMEA","2021-08-01",999312.4868000001
"A00 - Equipment","Latin America","2021-08-01",1496702.0906189997
"B00 - Services","APAC","2021-08-01",3666294.016585001
"X00 - Other","EMEA","2021-08-01",415.4599999999999
"B00 - Services","Latin America","2021-08-01",1544491.0480900002
"B00 - Services","India","2021-08-01",2683001.487102
"A00 - Equipment","India","2021-08-01",-30155.849817
"F00 - GCCT","APAC","2021-08-01",2318354.4860110004
"A00 - Equipment","APAC","2021-08-01",1207677.608479
"X00 - Other","APAC","2021-08-01",-6.670000000000016
"F00 - GCCT","North America","2021-08-01",451440.210382
"F00 - GCCT","Eurasia","2021-07-01",157558.3705
"F00 - GCCT","North America","2021-07-01",629920.8662800001
"A00 - Equipment","Latin America","2021-07-01",873133.848691
"B00 - Services","EMEA","2021-07-01",1808527.212604
"B00 - Services","North America","2021-07-01",1049296.306511
"Consolidated","Global","2021-07-01",28325302.087285
"F00 - GCCT","APAC","2021-07-01",1910132.2291310006
"A00 - Equipment","Eurasia","2021-07-01",845836.3665
"F00 - GCCT","EMEA","2021-07-01",1021023.564331
"A00 - Equipment","India","2021-07-01",1186474.8692619998
"A00 - Equipment","EMEA","2021-07-01",3872316.893273
"B00 - Services","Eurasia","2021-07-01",2230438.8561
"F00 - GCCT","Latin America","2021-07-01",709933.8984490001
"A00 - Equipment","APAC","2021-07-01",1884867.7980060002
"B00 - Services","APAC","2021-07-01",3297676.328608
"X00 - Other","EMEA","2021-07-01",453.18
"B00 - Services","India","2021-07-01",2564508.745011
"B00 - Services","Latin America","2021-07-01",1707960.9914110003
"F00 - GCCT","India","2021-07-01",857864.136225
"B00 - Services","China","2021-07-01",360473.730806
"A00 - Equipment","China","2021-07-01",873631.3159750004
"A00 - Equipment","North America","2021-07-01",483272.70911800006
"F00 - GCCT","North America","2021-06-01",598972.886848
"A00 - Equipment","China","2021-06-01",742332.918075
"B00 - Services","EMEA","2021-06-01",1822555.9670040002
"B00 - Services","China","2021-06-01",159039.43781
"F00 - GCCT","India","2021-06-01",815139.770275
"Consolidated","Global","2021-06-01",30155245.741491
"A00 - Equipment","Latin America","2021-06-01",2228454.981328
"F00 - GCCT","EMEA","2021-06-01",1219983.7920000001
"B00 - Services","North America","2021-06-01",1126363.9076409999
"F00 - GCCT","APAC","2021-06-01",2084866.3368570001
"A00 - Equipment","EMEA","2021-06-01",1396867.7086089998
"B00 - Services","Latin America","2021-06-01",1500081.9781940004
"X00 - Other","EMEA","2021-06-01",0
"B00 - Services","India","2021-06-01",2373206.476744
"A00 - Equipment","APAC","2021-06-01",2056952.79145
"B00 - Services","Eurasia","2021-06-01",2214284.3841
"A00 - Equipment","Eurasia","2021-06-01",2318871.7252
"F00 - GCCT","Latin America","2021-06-01",894091.313221
"B00 - Services","APAC","2021-06-01",4318325.870034
"F00 - GCCT","Eurasia","2021-06-01",163370.8982
"A00 - Equipment","North America","2021-06-01",1953122.881477
"A00 - Equipment","India","2021-06-01",168359.749838
"B00 - Services","China","2021-05-01",131040.810647
"F00 - GCCT","EMEA","2021-05-01",1010042.8571999997
"A00 - Equipment","APAC","2021-05-01",1636227.7272889998
"B00 - Services","North America","2021-05-01",771891.204798
"A00 - Equipment","North America","2021-05-01",418468.22438800003
"Consolidated","Global","2021-05-01",28020098.964665
"X00 - Other","APAC","2021-05-01",-5595.539999999999
"F00 - GCCT","Latin America","2021-05-01",809408.3519040002
"B00 - Services","Latin America","2021-05-01",1503575.199679
"X00 - Other","North America","2021-05-01",-220.12
"A00 - Equipment","EMEA","2021-05-01",2171018.396347
"F00 - GCCT","Eurasia","2021-05-01",151929.0582
"A00 - Equipment","Latin America","2021-05-01",939730.89517
"F00 - GCCT","APAC","2021-05-01",1683795.3748099997
"X00 - Other","EMEA","2021-05-01",7022.090000000001
"X00 - Other","Latin America","2021-05-01",-75.22
"B00 - Services","APAC","2021-05-01",3775220.9950900003
"F00 - GCCT","India","2021-05-01",861330.310857
"A00 - Equipment","China","2021-05-01",429468.932152
"B00 - Services","Eurasia","2021-05-01",2163272.5974999997
"F00 - GCCT","North America","2021-05-01",964214.0978819999
"B00 - Services","EMEA","2021-05-01",1415348.3849370002
"A00 - Equipment","India","2021-05-01",541788.787747
"A00 - Equipment","Eurasia","2021-05-01",3556621.3252
"B00 - Services","India","2021-05-01",3084572.5060479986
"F00 - GCCT","India","2021-04-01",1097800.27043
"F00 - GCCT","APAC","2021-04-01",1859219.297725
"F00 - GCCT","Eurasia","2021-04-01",193694.2536
"B00 - Services","North America","2021-04-01",860247.8242389999
"A00 - Equipment","Eurasia","2021-04-01",3746608.8663000003
"A00 - Equipment","India","2021-04-01",67416.476987
"A00 - Equipment","APAC","2021-04-01",2853227.7443770003
"Consolidated","Global","2021-04-01",28138839.148
"F00 - GCCT","EMEA","2021-04-01",676182.9336
"A00 - Equipment","Latin America","2021-04-01",291928.495964
"B00 - Services","India","2021-04-01",2300424.115311999
"F00 - GCCT","North America","2021-04-01",659178.306858
"F00 - GCCT","Latin America","2021-04-01",1203963.679291
"A00 - Equipment","China","2021-04-01",2091.800233
"B00 - Services","Latin America","2021-04-01",1230397.314612
"X00 - Other","Latin America","2021-04-01",-230.79000000000002
"X00 - Other","North America","2021-04-01",-177.09
"B00 - Services","APAC","2021-04-01",3208026.343126001
"X00 - Other","APAC","2021-04-01",-8793.948454
"B00 - Services","China","2021-04-01",270267.162472
"A00 - Equipment","North America","2021-04-01",1303145.7240149998
"B00 - Services","EMEA","2021-04-01",1399671.8791590002
"B00 - Services","Eurasia","2021-04-01",2569377.4745
"A00 - Equipment","EMEA","2021-04-01",2369674.4298340003
"X00 - Other","EMEA","2021-04-01",-14504.309999999998
"B00 - Services","India","2021-03-01",2539024.6905840007
"A00 - Equipment","India","2021-03-01",622656.718916
"F00 - GCCT","APAC","2021-03-01",2044051.6811459998
"A00 - Equipment","China","2021-03-01",1438368.513953
"X00 - Other","APAC","2021-03-01",10408.970000000001
"B00 - Services","Eurasia","2021-03-01",2648015.9734
"F00 - GCCT","EMEA","2021-03-01",846171.2069
"B00 - Services","EMEA","2021-03-01",2355621.1666129995
"B00 - Services","APAC","2021-03-01",3298921.537338
"B00 - Services","China","2021-03-01",218470.441298
"X00 - Other","EMEA","2021-03-01",16679.15
"B00 - Services","Latin America","2021-03-01",1982870.346901
"F00 - GCCT","India","2021-03-01",1281469.386659
"B00 - Services","North America","2021-03-01",1001685.18918
"A00 - Equipment","Latin America","2021-03-01",1466352.7511040003
"A00 - Equipment","Eurasia","2021-03-01",3518528.2345999996
"Consolidated","Global","2021-03-01",30337446.81
"A00 - Equipment","APAC","2021-03-01",1415885.5318709998
"F00 - GCCT","Latin America","2021-03-01",1074369.930372
"F00 - GCCT","North America","2021-03-01",778742.2424100001
"A00 - Equipment","North America","2021-03-01",-128072.05104800001
"X00 - Other","North America","2021-03-01",-18.77000000000001
"F00 - GCCT","China","2021-03-01",24220.243981
"X00 - Other","Latin America","2021-03-01",494.59
"A00 - Equipment","EMEA","2021-03-01",1740278.225136
"F00 - GCCT","Eurasia","2021-03-01",142251.1266
"A00 - Equipment","North America","2021-02-01",128317.01688500002
"A00 - Equipment","EMEA","2021-02-01",1169181.5089250002
"B00 - Services","China","2021-02-01",168522.389176
"B00 - Services","India","2021-02-01",2521893.7106950004
"A00 - Equipment","China","2021-02-01",455.16280099999994
"F00 - GCCT","India","2021-02-01",1102511.8441650001
"X00 - Other","Latin America","2021-02-01",-272.89
"F00 - GCCT","Eurasia","2021-02-01",45550.9927
"F00 - GCCT","APAC","2021-02-01",1712798.9198679999
"Consolidated","Global","2021-02-01",21921703.91
"F00 - GCCT","EMEA","2021-02-01",622710.9738
"X00 - Other","EMEA","2021-02-01",10616.650000000001
"B00 - Services","Eurasia","2021-02-01",2033825.031
"B00 - Services","North America","2021-02-01",668588.2782950001
"X00 - Other","North America","2021-02-01",-40.879999999999995
"F00 - GCCT","Latin America","2021-02-01",756251.5421020001
"B00 - Services","Latin America","2021-02-01",969799.1221520001
"A00 - Equipment","India","2021-02-01",810515.248003
"F00 - GCCT","North America","2021-02-01",319882.971936
"A00 - Equipment","Eurasia","2021-02-01",805424.7375
"B00 - Services","APAC","2021-02-01",3472580.2943100003
"A00 - Equipment","Latin America","2021-02-01",1672651.1002169997
"A00 - Equipment","APAC","2021-02-01",1556731.010703
"X00 - Other","APAC","2021-02-01",2321.66
"B00 - Services","EMEA","2021-02-01",1372050.395345
"F00 - GCCT","APAC","2021-01-01",1746231.6392750002
"X00 - Other","India","2021-01-01",-27.73133
"X00 - Other","APAC","2021-01-01",2225.12
"B00 - Services","China","2021-01-01",118233.63153099999
"F00 - GCCT","North America","2021-01-01",621142.561218
"A00 - Equipment","APAC","2021-01-01",1729002.732489
"Consolidated","Global","2021-01-01",22299479.14
"A00 - Equipment","Eurasia","2021-01-01",574351.6247999999
"F00 - GCCT","Eurasia","2021-01-01",12951.502
"B00 - Services","Latin America","2021-01-01",1277399.048668
"B00 - Services","Eurasia","2021-01-01",1782822.1865
"X00 - Other","Latin America","2021-01-01",-33.34
"F00 - GCCT","EMEA","2021-01-01",727015.562
"A00 - Equipment","India","2021-01-01",433407.20444700005
"B00 - Services","APAC","2021-01-01",2728857.3782740002
"X00 - Other","North America","2021-01-01",57.80000000000001
"B00 - Services","India","2021-01-01",2152082.081385
"A00 - Equipment","Latin America","2021-01-01",502832.067255
"A00 - Equipment","North America","2021-01-01",927008.855366
"A00 - Equipment","China","2021-01-01",639321.975248
"F00 - GCCT","Latin America","2021-01-01",951743.059279
"F00 - GCCT","India","2021-01-01",1053652.4975329998
"A00 - Equipment","EMEA","2021-01-01",1856997.1983
"X00 - Other","EMEA","2021-01-01",17179.459999999995
"B00 - Services","EMEA","2021-01-01",1778949.658839
"B00 - Services","North America","2021-01-01",660958.614289
"X00 - Other","APAC","2020-12-01",10888.859999999999
"F00 - GCCT","Eurasia","2020-12-01",43083.3364
"A00 - Equipment","India","2020-12-01",597540.884916
"A00 - Equipment","APAC","2020-12-01",1948605.0868879997
"B00 - Services","APAC","2020-12-01",3529484.6993899997
"X00 - Other","North America","2020-12-01",3499.57
"A00 - Equipment","EMEA","2020-12-01",2167229.19
"A00 - Equipment","Eurasia","2020-12-01",3288752.1463
"F00 - GCCT","India","2020-12-01",981607.942045
"B00 - Services","India","2020-12-01",2426257.6898970003
"X00 - Other","EMEA","2020-12-01",60619.06
"B00 - Services","EMEA","2020-12-01",1748696.1511000004
"B00 - Services","China","2020-12-01",207982.752919
"A00 - Equipment","Latin America","2020-12-01",442466.35
"X00 - Other","Latin America","2020-12-01",-908.6299999999999
