ts_month,copper_index,ironore_index,lead_index,molybdenum_index,nickel_index,uranium_index,zinc_index,gold_index,platinum_index,palladium_index,silver_index,commodity_index
12/1/2012 0:00,0.83514837,0.714844769,0.883510315,0.635313531,0.681389538,0.646661721,0.857564764,1.23694661,0.883490609,0.869833785,1.111770905,0.942726626
1/1/2013 0:00,0.844874506,0.829194977,0.903478429,0.657310948,0.683113507,0.634484951,0.854201264,1.228138497,0.917825893,0.896416508,1.093229935,0.948545466
2/1/2013 0:00,0.85008825,0.854135142,0.915906891,0.658912541,0.691620904,0.636303295,0.894760084,1.195693411,0.935461954,0.94637802,1.060784002,0.954601143
3/1/2013 0:00,0.797154632,0.777980694,0.839882565,0.63740374,0.653886085,0.627002967,0.809593627,1.170978472,0.885427392,0.954046796,1.011254872,0.901510815
4/1/2013 0:00,0.755198717,0.765030951,0.784895998,0.626072607,0.612757587,0.609286485,0.780142122,1.091421593,0.832763486,0.885576259,0.885616616,0.851312284
5/1/2013 0:00,0.759582912,0.705566079,0.787060883,0.652439374,0.584412706,0.60177335,0.769864869,1.040834841,0.8269588,0.910550858,0.809021614,0.827279242
6/1/2013 0:00,0.729011401,0.640738325,0.812887147,0.628729373,0.558308699,0.591765579,0.772999785,0.986270574,0.799106109,0.895765088,0.740056538,0.797519757
7/1/2013 0:00,0.723685322,0.699253621,0.792771297,0.585040895,0.537589129,0.554896142,0.772414287,0.946205908,0.785566523,0.905018405,0.690918387,0.784726622
8/1/2013 0:00,0.754890846,0.754571544,0.841727378,0.542820282,0.559663659,0.523401673,0.798138156,0.99461224,0.838590977,0.931874632,0.77608411,0.821430581
9/1/2013 0:00,0.752934569,0.747847639,0.807169589,0.556215622,0.539586085,0.513093472,0.776307164,0.992678297,0.813215018,0.891453488,0.792114815,0.811332159
10/1/2013 0:00,0.755910384,0.734508105,0.818981131,0.553702109,0.551950716,0.519062057,0.79226137,0.966785517,0.791011253,0.913401525,0.771069135,0.809068818
11/1/2013 0:00,0.741008325,0.749282546,0.808966134,0.566281628,0.534996902,0.529265579,0.784518692,0.936879677,0.791427871,0.920965966,0.725607614,0.793343847
12/1/2013 0:00,0.767193815,0.755069611,0.830404216,0.567161716,0.545021133,0.516108521,0.834239129,0.897632802,0.757536744,0.896540501,0.688825343,0.801583829
1/1/2014 0:00,0.77128538,0.726289999,0.830518103,0.571380399,0.550851765,0.52384485,0.856485689,0.91411743,0.795299489,0.920836068,0.6972718,0.813645249
2/1/2014 0:00,0.754568815,0.675528307,0.816114983,0.576056106,0.55530902,0.528697486,0.855180368,0.957192982,0.788639271,0.913572653,0.732469097,0.819994247
3/1/2014 0:00,0.707730929,0.612835899,0.794844496,0.610011001,0.61295857,0.516426452,0.844426319,0.981036738,0.809257382,0.970919905,0.72433635,0.81579916
4/1/2014 0:00,0.705799563,0.627564452,0.809264245,0.58679868,0.681036062,0.484068108,0.853555395,0.954442534,0.797901455,0.995294351,0.690885065,0.816518996
5/1/2014 0:00,0.721630351,0.555344734,0.81199187,0.71249625,0.756806846,0.425778932,0.865773745,0.946741547,0.813102611,1.030430716,0.677776291,0.824255171
6/1/2014 0:00,0.712700915,0.505870076,0.815695113,0.825137514,0.728321156,0.420446517,0.894961494,0.942611364,0.812332163,1.046811963,0.697522707,0.825181298
7/1/2014 0:00,0.743122313,0.527388015,0.849105354,0.781310088,0.747433191,0.422646345,0.971501909,0.96396,0.832114772,1.094955929,0.732948657,0.864955408
8/1/2014 0:00,0.727213141,0.515783981,0.866245414,0.747359736,0.72732885,0.458739579,0.978773125,0.952254377,0.807308055,1.101465055,0.691534383,0.856463692
9/1/2014 0:00,0.713282519,0.463077817,0.819682012,0.747359736,0.705097288,0.512505299,0.965173222,0.909938141,0.75897381,1.052104685,0.645810682,0.829787651
10/1/2014 0:00,0.698130832,0.445445162,0.787557441,0.629839288,0.618208226,0.532931235,0.957114602,0.898872423,0.701903267,0.975266311,0.602169149,0.808809596
11/1/2014 0:00,0.691902988,0.407755022,0.785978513,0.608745875,0.61800025,0.603310948,0.947512022,0.864897626,0.675445764,0.978368707,0.560978874,0.791582719
12/1/2014 0:00,0.668156426,0.376246328,0.747365719,0.567011049,0.621673365,0.550343944,0.914162846,0.881451239,0.677540879,1.008996932,0.568279189,0.780389765
1/1/2015 0:00,0.610820592,0.378406423,0.713559814,0.556818182,0.580950812,0.537388724,0.889971618,0.919707227,0.694088287,0.984452781,0.60113547,0.768881961
2/1/2015 0:00,0.602934981,0.349543439,0.695184863,0.520379538,0.569785963,0.567390286,0.882375989,0.901741298,0.669332006,0.990318395,0.589185889,0.756654903
3/1/2015 0:00,0.623415096,0.318762896,0.693949073,0.486146115,0.537791836,0.585985972,0.853679584,0.866759349,0.637607854,0.987574039,0.569473231,0.737365054
4/1/2015 0:00,0.634320112,0.285516922,0.772036568,0.482785779,0.502163377,0.576409496,0.927018343,0.882041361,0.645501653,0.965330848,0.573896045,0.760217815
5/1/2015 0:00,0.666107485,0.331072267,0.77237155,0.455115512,0.527314906,0.529117211,0.95830185,0.881125165,0.638684055,0.98597821,0.59062777,0.781265253
6/1/2015 0:00,0.61546634,0.338810094,0.70828494,0.455115512,0.501421433,0.538373348,0.876105367,0.868870554,0.60948406,0.910169135,0.56391278,0.738637949
7/1/2015 0:00,0.573099346,0.285847163,0.682556515,0.455115512,0.446212121,0.537058268,0.84289793,0.830862163,0.567562161,0.805057001,0.529084588,0.697840026
8/1/2015 0:00,0.537972455,0.314114271,0.65992847,0.455115512,0.405399003,0.536456125,0.761970767,0.822717127,0.552928074,0.747981917,0.523861298,0.661240665
