Campaign,Ad Group,Keyword,Criterion Type
SEM_Instructors,Jasmin Ludolf,+jasmin +ludolf +datacamp,Broad
SEM_Instructors,George Boorman,george boorman course,Exact
SEM_Instructors,George Boorman,george boorman course,Phrase
SEM_Instructors,George Boorman,+george +boorman +course,Broad
SEM_Instructors,George Boorman,george boorman courses,Exact
SEM_Instructors,George Boorman,george boorman courses,Phrase
SEM_Instructors,George Boorman,+george +boorman +courses,Broad
SEM_Instructors,George Boorman,george boorman learn,Exact
SEM_Instructors,George Boorman,george boorman learn,Phrase
SEM_Instructors,George Boorman,+george +boorman +learn,Broad
SEM_Instructors,George Boorman,george boorman data science,Exact
SEM_Instructors,George Boorman,george boorman data science,Phrase
SEM_Instructors,George Boorman,+george +boorman +data science,Broad
SEM_Instructors,George Boorman,george boorman data camp,Exact
SEM_Instructors,George Boorman,george boorman data camp,Phrase
SEM_Instructors,George Boorman,+george +boorman +data camp,Broad
SEM_Instructors,George Boorman,george boorman datacamp,Exact
SEM_Instructors,George Boorman,george boorman datacamp,Phrase
SEM_Instructors,George Boorman,+george +boorman +datacamp,Broad
SEM_Instructors,Maarten Van den Broeck,maarten van den broeck course,Exact
SEM_Instructors,Maarten Van den Broeck,maarten van den broeck course,Phrase
SEM_Instructors,Maarten Van den Broeck,+maarten +van +den +broeck +course,Broad
SEM_Instructors,Maarten Van den Broeck,maarten van den broeck courses,Exact
SEM_Instructors,Maarten Van den Broeck,maarten van den broeck courses,Phrase
SEM_Instructors,Maarten Van den Broeck,+maarten +van +den +broeck +courses,Broad
SEM_Instructors,Maarten Van den Broeck,maarten van den broeck learn,Exact
SEM_Instructors,Maarten Van den Broeck,maarten van den broeck learn,Phrase
SEM_Instructors,Maarten Van den Broeck,+maarten +van +den +broeck +learn,Broad
SEM_Instructors,Maarten Van den Broeck,maarten van den broeck data science,Exact
SEM_Instructors,Maarten Van den Broeck,maarten van den broeck data science,Phrase
SEM_Instructors,Maarten Van den Broeck,+maarten +van +den +broeck +data science,Broad
SEM_Instructors,Maarten Van den Broeck,maarten van den broeck data camp,Exact
SEM_Instructors,Maarten Van den Broeck,maarten van den broeck data camp,Phrase
SEM_Instructors,Maarten Van den Broeck,+maarten +van +den +broeck +data camp,Broad
SEM_Instructors,Maarten Van den Broeck,maarten van den broeck datacamp,Exact
SEM_Instructors,Maarten Van den Broeck,maarten van den broeck datacamp,Phrase
SEM_Instructors,Maarten Van den Broeck,+maarten +van +den +broeck +datacamp,Broad
SEM_Instructors,Filip Schouwenaars,filip schouwenaars course,Exact
SEM_Instructors,Filip Schouwenaars,filip schouwenaars course,Phrase
SEM_Instructors,Filip Schouwenaars,+filip +schouwenaars +course,Broad
SEM_Instructors,Filip Schouwenaars,filip schouwenaars courses,Exact
SEM_Instructors,Filip Schouwenaars,filip schouwenaars courses,Phrase
SEM_Instructors,Filip Schouwenaars,+filip +schouwenaars +courses,Broad
SEM_Instructors,Filip Schouwenaars,filip schouwenaars learn,Exact
SEM_Instructors,Filip Schouwenaars,filip schouwenaars learn,Phrase
SEM_Instructors,Filip Schouwenaars,+filip +schouwenaars +learn,Broad
SEM_Instructors,Filip Schouwenaars,filip schouwenaars data science,Exact
SEM_Instructors,Filip Schouwenaars,filip schouwenaars data science,Phrase
SEM_Instructors,Filip Schouwenaars,+filip +schouwenaars +data science,Broad
SEM_Instructors,Filip Schouwenaars,filip schouwenaars data camp,Exact
SEM_Instructors,Filip Schouwenaars,filip schouwenaars data camp,Phrase
SEM_Instructors,Filip Schouwenaars,+filip +schouwenaars +data camp,Broad
SEM_Instructors,Filip Schouwenaars,filip schouwenaars datacamp,Exact
SEM_Instructors,Filip Schouwenaars,filip schouwenaars datacamp,Phrase
SEM_Instructors,Filip Schouwenaars,+filip +schouwenaars +datacamp,Broad
SEM_Instructors,Carl Rosseel,carl rosseel course,Exact
SEM_Instructors,Carl Rosseel,carl rosseel course,Phrase
SEM_Instructors,Carl Rosseel,+carl +rosseel +course,Broad
SEM_Instructors,Carl Rosseel,carl rosseel courses,Exact
SEM_Instructors,Carl Rosseel,carl rosseel courses,Phrase
SEM_Instructors,Carl Rosseel,+carl +rosseel +courses,Broad
SEM_Instructors,Carl Rosseel,carl rosseel learn,Exact
SEM_Instructors,Carl Rosseel,carl rosseel learn,Phrase
SEM_Instructors,Carl Rosseel,+carl +rosseel +learn,Broad
SEM_Instructors,Carl Rosseel,carl rosseel data science,Exact
SEM_Instructors,Carl Rosseel,carl rosseel data science,Phrase
SEM_Instructors,Carl Rosseel,+carl +rosseel +data science,Broad
SEM_Instructors,Carl Rosseel,carl rosseel data camp,Exact
SEM_Instructors,Carl Rosseel,carl rosseel data camp,Phrase
SEM_Instructors,Carl Rosseel,+carl +rosseel +data camp,Broad
SEM_Instructors,Carl Rosseel,carl rosseel datacamp,Exact
SEM_Instructors,Carl Rosseel,carl rosseel datacamp,Phrase
