Campaign,Ad Group,Final URL,Description,Headline 1,Headline 2
SEM_Instructors,Charlotte Werger,https://www.datacamp.com/instructors/charlottewerger,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Charlotte Werger,Tackle Complex Questions
SEM_Instructors,Darryl Reeves Ph.D,https://www.datacamp.com/instructors/darrylreeves,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Darryl Reeves Ph.D,Boost Your Data Science Career
SEM_Instructors,Darryl Reeves Ph.D,https://www.datacamp.com/instructors/darrylreeves,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Darryl Reeves Ph.D,Stand Out From the Crowd
SEM_Instructors,Darryl Reeves Ph.D,https://www.datacamp.com/instructors/darrylreeves,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Darryl Reeves Ph.D,Tackle Complex Questions
SEM_Instructors,Nina Zumel,https://www.datacamp.com/instructors/nzumel,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Nina Zumel,Boost Your Data Science Career
SEM_Instructors,Nina Zumel,https://www.datacamp.com/instructors/nzumel,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Nina Zumel,Stand Out From the Crowd
SEM_Instructors,Nina Zumel,https://www.datacamp.com/instructors/nzumel,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Nina Zumel,Tackle Complex Questions
SEM_Instructors,John Mount,https://www.datacamp.com/instructors/jmount,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,John Mount,Boost Your Data Science Career
SEM_Instructors,John Mount,https://www.datacamp.com/instructors/jmount,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",John Mount,Stand Out From the Crowd
SEM_Instructors,John Mount,https://www.datacamp.com/instructors/jmount,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,John Mount,Tackle Complex Questions
SEM_Instructors,David S. Matteson,https://www.datacamp.com/instructors/mattesondavid,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,David S. Matteson,Boost Your Data Science Career
SEM_Instructors,David S. Matteson,https://www.datacamp.com/instructors/mattesondavid,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",David S. Matteson,Stand Out From the Crowd
SEM_Instructors,David S. Matteson,https://www.datacamp.com/instructors/mattesondavid,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,David S. Matteson,Tackle Complex Questions
