date,sales,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2018-10-01,547741.9518,-39212.650599999935,87009.53469999996,-274003.9323,120956.0,-22626.0,-95089.0,-790.0,238323.0,-138163.66740000003,164750.06740000006,-26439.080000000075,-241672.07109999994,9219.878799999948
2018-09-01,467763.8645,-79978.08730000001,-39212.650599999935,87009.53469999996,-274003.9323,120956.0,-22626.0,-95089.0,-790.0,238323.0,-138163.66740000003,164750.06740000006,-26439.080000000075,-241672.07109999994
2018-08-01,411375.7743,-56388.090200000035,-79978.08730000001,-39212.650599999935,87009.53469999996,-274003.9323,120956.0,-22626.0,-95089.0,-790.0,238323.0,-138163.66740000003,164750.06740000006,-26439.080000000075
2018-07-01,462984.9687,51609.19440000004,-56388.090200000035,-79978.08730000001,-39212.650599999935,87009.53469999996,-274003.9323,120956.0,-22626.0,-95089.0,-790.0,238323.0,-138163.66740000003,164750.06740000006
2018-06-01,521928.6232,58943.654499999946,51609.19440000004,-56388.090200000035,-79978.08730000001,-39212.650599999935,87009.53469999996,-274003.9323,120956.0,-22626.0,-95089.0,-790.0,238323.0,-138163.66740000003
2018-05-01,463287.4331,-58641.19009999995,58943.654499999946,51609.19440000004,-56388.090200000035,-79978.08730000001,-39212.650599999935,87009.53469999996,-274003.9323,120956.0,-22626.0,-95089.0,-790.0,238323.0
2018-04-01,471527.5722,8240.139099999971,-58641.19009999995,58943.654499999946,51609.19440000004,-56388.090200000035,-79978.08730000001,-39212.650599999935,87009.53469999996,-274003.9323,120956.0,-22626.0,-95089.0,-790.0
2018-03-01,352858.6627,-118668.90950000001,8240.139099999971,-58641.19009999995,58943.654499999946,51609.19440000004,-56388.090200000035,-79978.08730000001,-39212.650599999935,87009.53469999996,-274003.9323,120956.0,-22626.0,-95089.0
2018-02-01,252805.2276,-100053.43509999997,-118668.90950000001,8240.139099999971,-58641.19009999995,58943.654499999946,51609.19440000004,-56388.090200000035,-79978.08730000001,-39212.650599999935,87009.53469999996,-274003.9323,120956.0,-22626.0
2018-01-01,238942.5951,-13862.632500000007,-100053.43509999997,-118668.90950000001,8240.139099999971,-58641.19009999995,58943.654499999946,51609.19440000004,-56388.090200000035,-79978.08730000001,-39212.650599999935,87009.53469999996,-274003.9323,120956.0
2017-12-01,373181.8691,134239.274,-13862.632500000007,-100053.43509999997,-118668.90950000001,8240.139099999971,-58641.19009999995,58943.654499999946,51609.19440000004,-56388.090200000035,-79978.08730000001,-39212.650599999935,87009.53469999996,-274003.9323
2017-11-01,436224.5837,63042.71460000001,134239.274,-13862.632500000007,-100053.43509999997,-118668.90950000001,8240.139099999971,-58641.19009999995,58943.654499999946,51609.19440000004,-56388.090200000035,-79978.08730000001,-39212.650599999935,87009.53469999996
2017-10-01,372819.1454,-63405.43830000004,63042.71460000001,134239.274,-13862.632500000007,-100053.43509999997,-118668.90950000001,8240.139099999971,-58641.19009999995,58943.654499999946,51609.19440000004,-56388.090200000035,-79978.08730000001,-39212.650599999935
2017-09-01,463291.7098,90472.56440000003,-63405.43830000004,63042.71460000001,134239.274,-13862.632500000007,-100053.43509999997,-118668.90950000001,8240.139099999971,-58641.19009999995,58943.654499999946,51609.19440000004,-56388.090200000035,-79978.08730000001
2017-08-01,472566.9528,9275.243000000017,90472.56440000003,-63405.43830000004,63042.71460000001,134239.274,-13862.632500000007,-100053.43509999997,-118668.90950000001,8240.139099999971,-58641.19009999995,58943.654499999946,51609.19440000004,-56388.090200000035
2017-07-01,408790.8441,-63776.10870000004,9275.243000000017,90472.56440000003,-63405.43830000004,63042.71460000001,134239.274,-13862.632500000007,-100053.43509999997,-118668.90950000001,8240.139099999971,-58641.19009999995,58943.654499999946,51609.19440000004
2017-06-01,363674.8954,-45115.94870000001,-63776.10870000004,9275.243000000017,90472.56440000003,-63405.43830000004,63042.71460000001,134239.274,-13862.632500000007,-100053.43509999997,-118668.90950000001,8240.139099999971,-58641.19009999995,58943.654499999946
2017-05-01,384335.6631,20660.767700000026,-45115.94870000001,-63776.10870000004,9275.243000000017,90472.56440000003,-63405.43830000004,63042.71460000001,134239.274,-13862.632500000007,-100053.43509999997,-118668.90950000001,8240.139099999971,-58641.19009999995
2017-04-01,287313.3582,-97022.30489999999,20660.767700000026,-45115.94870000001,-63776.10870000004,9275.243000000017,90472.56440000003,-63405.43830000004,63042.71460000001,134239.274,-13862.632500000007,-100053.43509999997,-118668.90950000001,8240.139099999971
2017-03-01,448603.6582,161290.3,-97022.30489999999,20660.767700000026,-45115.94870000001,-63776.10870000004,9275.243000000017,90472.56440000003,-63405.43830000004,63042.71460000001,134239.274,-13862.632500000007,-100053.43509999997,-118668.90950000001
2017-02-01,278383.1018,-170220.5564,161290.3,-97022.30489999999,20660.767700000026,-45115.94870000001,-63776.10870000004,9275.243000000017,90472.56440000003,-63405.43830000004,63042.71460000001,134239.274,-13862.632500000007,-100053.43509999997
2017-01-01,434595.5788,156212.477,-170220.5564,161290.3,-97022.30489999999,20660.767700000026,-45115.94870000001,-63776.10870000004,9275.243000000017,90472.56440000003,-63405.43830000004,63042.71460000001,134239.274,-13862.632500000007
